M:Lspec/benchmarks/serial/data/TestArrayList:<init>() (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestArrayList:<init>() (M)Ljava/util/Random:nextInt()
C:Lspec/benchmarks/serial/data/TestArrayList Lspec/benchmarks/serial/data/TestDomainObject
M:Lspec/benchmarks/serial/data/TestArrayList:<init>() (D)Lspec/benchmarks/serial/data/TestDomainObject:<init>(Z)
M:Lspec/benchmarks/serial/data/TestArrayList:<init>() (M)Ljava/util/ArrayList:add(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestArrayList Lspec/benchmarks/serial/data/TestArrayList
M:Lspec/benchmarks/serial/data/TestArrayList:<init>() (D)Lspec/benchmarks/serial/data/TestArrayList:<init>()
M:Lspec/benchmarks/serial/data/TestArrayList:equals(Ljava/lang/Object,) (M)Ljava/util/ArrayList:equals(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestBigInteger Ljava/math/BigInteger
M:Lspec/benchmarks/serial/data/TestBigInteger:<init>() (D)Ljava/math/BigInteger:<init>(Ljava/lang/String)
C:Lspec/benchmarks/serial/data/TestBigInteger Ljava/io/PrintStream
M:Lspec/benchmarks/serial/data/TestBigInteger:<init>() (M)Ljava/io/PrintStream:println(Ljava/lang/String)
C:Lspec/benchmarks/serial/data/TestBigInteger Lspec/benchmarks/serial/data/TestBigInteger
M:Lspec/benchmarks/serial/data/TestBigInteger:<init>() (D)Lspec/benchmarks/serial/data/TestBigInteger:<init>()
M:Lspec/benchmarks/serial/data/TestBigInteger:equals(Ljava/lang/Object,) (O)Ljava/math/BigInteger:equals(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestByteArray Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestByteArray:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestByteArray Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestByteArray:<init>() (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestByteArray:<init>() (M)Ljava/util/Random:nextBytes([B)
C:Lspec/benchmarks/serial/data/TestByteArray Lspec/benchmarks/serial/data/TestByteArray
M:Lspec/benchmarks/serial/data/TestByteArray:<init>() (D)Lspec/benchmarks/serial/data/TestByteArray:<init>()
C:Lspec/benchmarks/serial/data/TestClassReferenceTest Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestClassReferenceTest:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestClassReferenceTest Lspec/benchmarks/serial/data/TestClassReferenceTest
M:Lspec/benchmarks/serial/data/TestClassReferenceTest:<init>() (D)Lspec/benchmarks/serial/data/TestClassReferenceTest:<init>()
C:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly Ljava/lang/System
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:<init>() (S)Ljava/lang/System:currentTimeMillis()
C:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly Ljava/sql/Date
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:<init>() (D)Ljava/sql/Date:<init>(J)
C:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:<init>() (D)Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:<init>()
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:equals(Ljava/lang/Object,) (M)Ljava/sql/Date:equals(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:equals(Ljava/lang/Object,) (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:equals(Ljava/lang/Object,) (M)Ljava/sql/Date:toString()
M:Lspec/benchmarks/serial/data/TestClassWithSQLDateOnly:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:toString()
C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (D)Ljava/util/Random:<init>()
C:Lspec/benchmarks/serial/data/TestDomainObject Lspec/benchmarks/serial/data/TestDomainObject
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (D)Lspec/benchmarks/serial/data/TestDomainObject:<init>(Z)
C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/io/PrintStream
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/io/PrintStream:println(Ljava/lang/String)
C:Lspec/benchmarks/serial/data/TestDomainObject Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (D)Ljava/lang/Object:<init>()
M:Lspec/benchmarks/serial/data/TestDomainObject:<clinit>() (M)Ljava/util/Random:nextLong()
